MSN,state,Year,data
NGRCB,DE,1982,6897

NGRCB,DE,1983,6313

NGRCB,DE,1984,6975

NGRCB,DE,1985,6346

NGRCB,DE,1986,6973

NGRCB,DE,1987,7140

NGRCB,DE,1988,7721

NGRCB,DE,1989,7746

NGRCB,DE,1990,7337

NGRCB,DE,1991,7236

NGRCB,DE,1992,8499

NGRCB,DE,1993,8590

NGRCB,DE,1994,8863

NGRCB,DE,1995,8807

NGRCB,DE,1996,10140

NGRCB,DE,1997,9289

NGRCB,DE,1998,8235

NGRCB,DE,1999,9461

NGRCB,DE,2000,9858

NGRCB,DE,2001,9477

NGRCB,DE,2002,9898

NGRCB,DE,2003,11173

NGRCB,DE,2004,10773

NGRCB,DE,2005,10721

NGRCB,DE,2006,9449

NGRCB,DE,2007,10375

NGRCB,DE,2008,10197

NGRCB,DE,2009,10367

NGRCB,DE,2010,10376

NGRCB,DE,2011,10323

NGRCB,DE,2012,8808

NGRCB,DE,2013,10673

NGRCB,DE,2014,11944

NGRCB,DE,2015,11854

NGRCB,DE,2016,10159

NGRCB,DE,2017,10371

NGRCB,DE,2018,12605

NGRCB,DE,2019,12145

NGRCB,FL,1960,6603

NGRCB,FL,1961,8694

NGRCB,FL,1962,6820

NGRCB,FL,1963,7475

NGRCB,FL,1964,11822

NGRCB,FL,1965,8436

NGRCB,FL,1966,8737

NGRCB,FL,1967,9798

NGRCB,FL,1968,11861

NGRCB,FL,1969,12195

NGRCB,FL,1970,15305

NGRCB,FL,1971,13785

NGRCB,FL,1972,13740

NGRCB,FL,1973,17360

NGRCB,FL,1974,15769

NGRCB,FL,1975,16388

NGRCB,FL,1976,17879

NGRCB,FL,1977,19435

NGRCB,FL,1978,23125

NGRCB,FL,1979,18459

NGRCB,FL,1980,16189

NGRCB,FL,1981,18099

NGRCB,FL,1982,14745

NGRCB,FL,1983,16866

NGRCB,FL,1984,16362

NGRCB,FL,1985,15010

NGRCB,FL,1986,14912

NGRCB,FL,1987,15946

NGRCB,FL,1988,16080

NGRCB,FL,1989,14148

NGRCB,FL,1990,14063

NGRCB,FL,1991,14177

NGRCB,FL,1992,15813

NGRCB,FL,1993,15320

NGRCB,FL,1994,15634

NGRCB,FL,1995,15553

NGRCB,FL,1996,18188

NGRCB,FL,1997,13879

NGRCB,FL,1998,14869

NGRCB,FL,1999,14433

NGRCB,FL,2000,16772

NGRCB,FL,2001,16558

NGRCB,FL,2002,15669

NGRCB,FL,2003,16527

NGRCB,FL,2004,16460

NGRCB,FL,2005,16732

NGRCB,FL,2006,16134

NGRCB,FL,2007,15602

NGRCB,FL,2008,16086

NGRCB,FL,2009,15682

NGRCB,FL,2010,19198

NGRCB,FL,2011,16648

NGRCB,FL,2012,14635

NGRCB,FL,2013,15593

NGRCB,FL,2014,17143

NGRCB,FL,2015,15791

NGRCB,FL,2016,15763

NGRCB,FL,2017,15423

NGRCB,FL,2018,17570

NGRCB,FL,2019,16944

NGRCB,GA,1960,57798

NGRCB,GA,1961,59006

NGRCB,GA,1962,60841

NGRCB,GA,1963,66188

NGRCB,GA,1964,72950

NGRCB,GA,1965,69854

NGRCB,GA,1966,78581

NGRCB,GA,1967,83776

NGRCB,GA,1968,87687

NGRCB,GA,1969,91658

NGRCB,GA,1970,90067

NGRCB,GA,1971,91057

NGRCB,GA,1972,87888

NGRCB,GA,1973,88777

NGRCB,GA,1974,78329

NGRCB,GA,1975,89514

NGRCB,GA,1976,88684

NGRCB,GA,1977,100991

NGRCB,GA,1978,99061

NGRCB,GA,1979,94535

NGRCB,GA,1980,93124

NGRCB,GA,1981,94416

NGRCB,GA,1982,89428

NGRCB,GA,1983,93753

NGRCB,GA,1984,97778

NGRCB,GA,1985,86387

NGRCB,GA,1986,91584

NGRCB,GA,1987,103247

NGRCB,GA,1988,110829

NGRCB,GA,1989,106377

NGRCB,GA,1990,92702

NGRCB,GA,1991,99272

NGRCB,GA,1992,110920

NGRCB,GA,1993,118781

NGRCB,GA,1994,108601

NGRCB,GA,1995,117648

NGRCB,GA,1996,129982

NGRCB,GA,1997,117568

NGRCB,GA,1998,110308

NGRCB,GA,1999,101447

NGRCB,GA,2000,143406

NGRCB,GA,2001,124111

NGRCB,GA,2002,129902

NGRCB,GA,2003,133730

NGRCB,GA,2004,130142

NGRCB,GA,2005,128939

NGRCB,GA,2006,113510

NGRCB,GA,2007,115129

NGRCB,GA,2008,122159

NGRCB,GA,2009,121368

NGRCB,GA,2010,141661

NGRCB,GA,2011,115423

NGRCB,GA,2012,99148

NGRCB,GA,2013,123480

NGRCB,GA,2014,136706

NGRCB,GA,2015,120795

NGRCB,GA,2016,119188

NGRCB,GA,2017,114365

NGRCB,GA,2018,136713

NGRCB,GA,2019,126519

NGRCB,HI,1960,0

NGRCB,HI,1961,0

NGRCB,HI,1962,0

NGRCB,HI,1963,0

NGRCB,HI,1964,0

NGRCB,HI,1965,0

NGRCB,HI,1966,0

NGRCB,HI,1967,0

NGRCB,HI,1968,0

NGRCB,HI,1969,0

NGRCB,HI,1970,0

NGRCB,HI,1971,0

NGRCB,HI,1972,0

NGRCB,HI,1973,0

NGRCB,HI,1974,0

NGRCB,HI,1975,0

NGRCB,HI,1976,0

NGRCB,HI,1977,0

NGRCB,HI,1978,0

NGRCB,HI,1979,0

NGRCB,HI,1980,1364

NGRCB,HI,1981,1236

NGRCB,HI,1982,1184

NGRCB,HI,1983,1147

NGRCB,HI,1984,1075

NGRCB,HI,1985,676

NGRCB,HI,1986,629

NGRCB,HI,1987,631

NGRCB,HI,1988,607

NGRCB,HI,1989,610

NGRCB,HI,1990,605

NGRCB,HI,1991,589

NGRCB,HI,1992,592

NGRCB,HI,1993,592

NGRCB,HI,1994,607

NGRCB,HI,1995,601

NGRCB,HI,1996,571

NGRCB,HI,1997,533

NGRCB,HI,1998,565

NGRCB,HI,1999,552

NGRCB,HI,2000,560

NGRCB,HI,2001,557

NGRCB,HI,2002,571

NGRCB,HI,2003,562

NGRCB,HI,2004,549

NGRCB,HI,2005,535

NGRCB,HI,2006,542

NGRCB,HI,2007,528

NGRCB,HI,2008,520

NGRCB,HI,2009,530

NGRCB,HI,2010,529

NGRCB,HI,2011,509

NGRCB,HI,2012,503

NGRCB,HI,2013,585

NGRCB,HI,2014,559

NGRCB,HI,2015,562

NGRCB,HI,2016,560

NGRCB,HI,2017,558

NGRCB,HI,2018,568

NGRCB,HI,2019,548

NGRCB,IA,1960,60475

NGRCB,IA,1961,63681

NGRCB,IA,1962,70100

NGRCB,IA,1963,68551

NGRCB,IA,1964,72040

NGRCB,IA,1965,78032

NGRCB,IA,1966,80033

NGRCB,IA,1967,83305

NGRCB,IA,1968,86720

NGRCB,IA,1969,93135

NGRCB,IA,1970,97085

NGRCB,IA,1971,93061

NGRCB,IA,1972,97373

NGRCB,IA,1973,92555

NGRCB,IA,1974,93002

NGRCB,IA,1975,95125

NGRCB,IA,1976,90369

NGRCB,IA,1977,87262

NGRCB,IA,1978,81001

NGRCB,IA,1979,96142

NGRCB,IA,1980,85199

NGRCB,IA,1981,77244

NGRCB,IA,1982,85459

NGRCB,IA,1983,78391

NGRCB,IA,1984,80943

NGRCB,IA,1985,79609

NGRCB,IA,1986,74940

NGRCB,IA,1987,65769

NGRCB,IA,1988,76644

NGRCB,IA,1989,78253

NGRCB,IA,1990,71870

NGRCB,IA,1991,79415

NGRCB,IA,1992,75176

NGRCB,IA,1993,83659

NGRCB,IA,1994,78881

NGRCB,IA,1995,82643

NGRCB,IA,1996,88607

NGRCB,IA,1997,82432

NGRCB,IA,1998,69657

NGRCB,IA,1999,72805

NGRCB,IA,2000,74221

NGRCB,IA,2001,71341

NGRCB,IA,2002,71754

NGRCB,IA,2003,74236

NGRCB,IA,2004,68538

NGRCB,IA,2005,67692

NGRCB,IA,2006,62628

NGRCB,IA,2007,68443

NGRCB,IA,2008,76201

NGRCB,IA,2009,70599

NGRCB,IA,2010,68775

NGRCB,IA,2011,67696

NGRCB,IA,2012,56611

NGRCB,IA,2013,74635

NGRCB,IA,2014,79620

NGRCB,IA,2015,66042

NGRCB,IA,2016,64672

NGRCB,IA,2017,63711

NGRCB,IA,2018,75122

NGRCB,IA,2019,75888

NGRCB,ID,1960,2257

NGRCB,ID,1961,2749

NGRCB,ID,1962,3296

NGRCB,ID,1963,3847

NGRCB,ID,1964,5105

NGRCB,ID,1965,5207

NGRCB,ID,1966,5914

NGRCB,ID,1967,6476

NGRCB,ID,1968,6696

NGRCB,ID,1969,7141

NGRCB,ID,1970,8181

NGRCB,ID,1971,8971

NGRCB,ID,1972,11551

NGRCB,ID,1973,10524

NGRCB,ID,1974,10057

NGRCB,ID,1975,14864

NGRCB,ID,1976,13225

NGRCB,ID,1977,12478

NGRCB,ID,1978,8217

NGRCB,ID,1979,9165

NGRCB,ID,1980,7779

NGRCB,ID,1981,7181

NGRCB,ID,1982,7355

NGRCB,ID,1983,6816

NGRCB,ID,1984,7669

NGRCB,ID,1985,8139

NGRCB,ID,1986,7436

NGRCB,ID,1987,7126

NGRCB,ID,1988,7837

NGRCB,ID,1989,9020

NGRCB,ID,1990,8808

NGRCB,ID,1991,10560

NGRCB,ID,1992,9949

NGRCB,ID,1993,13035

NGRCB,ID,1994,12752

NGRCB,ID,1995,13393

NGRCB,ID,1996,15389

NGRCB,ID,1997,15710

NGRCB,ID,1998,16614

NGRCB,ID,1999,18588

NGRCB,ID,2000,19602

NGRCB,ID,2001,19453

NGRCB,ID,2002,21010

NGRCB,ID,2003,19526

NGRCB,ID,2004,21530

NGRCB,ID,2005,22745

NGRCB,ID,2006,23494

NGRCB,ID,2007,23977

NGRCB,ID,2008,28197

NGRCB,ID,2009,26127

NGRCB,ID,2010,24496

NGRCB,ID,2011,27137

NGRCB,ID,2012,24296

NGRCB,ID,2013,28067

NGRCB,ID,2014,25056

NGRCB,ID,2015,24329

NGRCB,ID,2016,26004

NGRCB,ID,2017,30119

NGRCB,ID,2018,28607

NGRCB,ID,2019,31834

NGRCB,IL,1960,240242

NGRCB,IL,1961,260546

NGRCB,IL,1962,286316

NGRCB,IL,1963,296210

NGRCB,IL,1964,324378

NGRCB,IL,1965,351902

NGRCB,IL,1966,365965

NGRCB,IL,1967,394892

NGRCB,IL,1968,405272

NGRCB,IL,1969,448389

NGRCB,IL,1970,450131

NGRCB,IL,1971,474210

NGRCB,IL,1972,499948

NGRCB,IL,1973,455926

NGRCB,IL,1974,472241

NGRCB,IL,1975,490998

NGRCB,IL,1976,520593

NGRCB,IL,1977,534532

NGRCB,IL,1978,529952

NGRCB,IL,1979,507711

NGRCB,IL,1980,488997

NGRCB,IL,1981,476727

NGRCB,IL,1982,468651

NGRCB,IL,1983,448325

NGRCB,IL,1984,498779

NGRCB,IL,1985,464465

NGRCB,IL,1986,446247

NGRCB,IL,1987,413977

NGRCB,IL,1988,470652

NGRCB,IL,1989,510979

NGRCB,IL,1990,451886

NGRCB,IL,1991,475833

